strain	gisaid_epi_isl
USA/FL-CDC-LC0065323/2021	EPI_ISL_2480215
USA/FL-CDC-LC0065369/2021	EPI_ISL_2480323
USA/FL-CDC-LC0065484/2021	EPI_ISL_2480252
USA/FL-CDC-LC0069902/2021	EPI_ISL_2611192
USA/FL-CDC-LC0069915/2021	EPI_ISL_2611201
USA/FL-CDC-STM-000014547/2021	EPI_ISL_1262398
USA/FL-CDC-STM-000029850/2021	EPI_ISL_1340400
USA/FL-CDC-STM-000034646/2021	EPI_ISL_1444218
USA/FL-CDC-STM-000049517/2021	EPI_ISL_1680175
USA/FL-CDC-STM-000051139/2021	EPI_ISL_1734626
USA/FL-CDC-STM-000056180/2021	EPI_ISL_1907891
USA/FL-CDC-STM-000056739/2021	EPI_ISL_1907712
USA/FL-CDC-STM-000058851/2021	EPI_ISL_1923274
USA/FL-CDC-STM-000059720/2021	EPI_ISL_1991354
USA/FL-CDC-STM-000060165/2021	EPI_ISL_1991694
USA/FL-CDC-STM-000061212/2021	EPI_ISL_2010368
USA/FL-CDC-STM-000061610/2021	EPI_ISL_2009762
USA/FL-CDC-STM-000062952/2021	EPI_ISL_2097767
USA/FL-CDC-STM-000069381/2021	EPI_ISL_2247513
USA/FL-CDC-STM-000069639/2021	EPI_ISL_2270061
USA/FL-CDC-STM-000070385/2021	EPI_ISL_2269652
USA/FL-CDC-STM-000073404/2021	EPI_ISL_2440240
USA/FL-CDC-STM-000073547/2021	EPI_ISL_2440359
USA/FL-TGH-0524/2021	EPI_ISL_2626633
USA/FL-TGH-0525/2021	EPI_ISL_2626634
USA/GA-CDC-ASC210004840/2021	EPI_ISL_1479853
USA/GA-CDC-ASC210018789/2021	EPI_ISL_1513624
USA/GA-CDC-ASC210039703/2021	EPI_ISL_1834871
USA/GA-CDC-ASC210039734/2021	EPI_ISL_1834900
USA/GA-CDC-ASC210076482/2021	EPI_ISL_2203142
USA/GA-CDC-ASC210105908/2021	EPI_ISL_2489725
USA/GA-CDC-ASC210105997/2021	EPI_ISL_2489335
USA/GA-CDC-ASC210106849/2021	EPI_ISL_2528293
USA/GA-CDC-ASC210106908/2021	EPI_ISL_2528402
USA/GA-CDC-LC0030396/2021	EPI_ISL_1462889
USA/GA-CDC-MMB08921118/2021	EPI_ISL_2647465
USA/GA-CDC-STM-000014738/2021	EPI_ISL_1267724
USA/GA-CDC-STM-000044025/2021	EPI_ISL_1581673
USA/GA-CDC-STM-000048303/2021	EPI_ISL_1691334
USA/GA-CDC-STM-000058990/2021	EPI_ISL_1923350
USA/GA-CDC-STM-000073027/2021	EPI_ISL_2599013
USA/GA-EHC-1200F/2021	EPI_ISL_2107397
USA/GA-GPHL-0471/2021	EPI_ISL_2536195
USA/IN-CDC-STM-000073577/2021	EPI_ISL_2440340
USA/IN-CDC-STM-000073645/2021	EPI_ISL_2440421
USA/IN-INSPHL-01289/2021	EPI_ISL_2361367
USA/KS-KHEL-1907/2021	EPI_ISL_2276097
USA/LA-CDC-STM-000074377/2021	EPI_ISL_2599600
USA/MA-CDC-ASC210031609/2021	EPI_ISL_2150683
USA/MA-CDC-ASC210036373/2021	EPI_ISL_2148724
USA/MA-CDC-ASC210036374/2021	EPI_ISL_2148725
USA/MA-CDC-ASC210036375/2021	EPI_ISL_2148726
USA/MA-CDC-LC0044912/2021	EPI_ISL_1798895
USA/MD-CDC-ASC210019396/2021	EPI_ISL_1650631
USA/MD-CDC-ASC210060585/2021	EPI_ISL_2147422
USA/MD-CDC-LC0041319/2021	EPI_ISL_1681656
USA/MD-CDC-LC0058153/2021	EPI_ISL_2184399
USA/MD-CDC-LC0058291/2021	EPI_ISL_2184435
USA/MD-CDC-LC0058364/2021	EPI_ISL_2184498
USA/MD-IGS-012108504260A/2021	EPI_ISL_1696321
USA/MD-IGS-012109006305A/2021	EPI_ISL_1696400
USA/MD-MDH-1199/2021	EPI_ISL_1182004
USA/MD-MDH-1618/2021	EPI_ISL_1575150
USA/MD-MDH-1758/2021	EPI_ISL_1672365
USA/MD-MDH-1787/2021	EPI_ISL_1672373
USA/MD-MDH-1905/2021	EPI_ISL_1731419
USA/MD-MDH-2421/2021	EPI_ISL_2322723
USA/MD-MDH-2547/2021	EPI_ISL_2550769
USA/ME-HETL-H0152/2021	EPI_ISL_2501206
USA/MI-CDC-ASC210043895/2021	EPI_ISL_1736060
USA/MI-CDC-ASC210054865/2021	EPI_ISL_1996552
USA/MI-CDC-ASC210059380/2021	EPI_ISL_2147135
USA/MI-CDC-ASC210062343/2021	EPI_ISL_2181322
USA/MI-CDC-ASC210062642/2021	EPI_ISL_2321386
USA/MI-IVY-ZZX9LDCW/2021	EPI_ISL_2598289
USA/MI-UM-10039364181/2021	EPI_ISL_1910833
USA/MI-UM-MHM1459/2021	EPI_ISL_2136260
USA/MI-UM-MHM1460/2021	EPI_ISL_2136261
USA/MI-UM-MHM1480/2021	EPI_ISL_2598266
USA/MI-UM-MHM1481/2021	EPI_ISL_2598267
USA/MN-CDC-ASC210061659/2021	EPI_ISL_2181057
USA/MN-CDC-ASC210061660/2021	EPI_ISL_2181058
USA/MN-CDC-IBX326764023614/2021	EPI_ISL_2013097
USA/MN-CDC-LC0056307/2021	EPI_ISL_2046620
USA/MN-UMGC-3122/2021	EPI_ISL_2699244
USA/MN-UMGC-3810/2021	EPI_ISL_2699501
USA/MN-UMGC-3811/2021	EPI_ISL_2699502
USA/MT-CDC-2-4193960/2021	EPI_ISL_1798460
USA/MT-CDC-ASC210034573/2021	EPI_ISL_2039115
USA/NC-CDC-LC0018544/2021	EPI_ISL_1160917
USA/NC-CDC-STM-000017576/2021	EPI_ISL_1268043
USA/NC-UNC-0260/2021	EPI_ISL_1240842
USA/NJ-CDC-ASC210005619/2021	EPI_ISL_1560214
USA/NJ-CDC-ASC210006434/2021	EPI_ISL_1561153
USA/NJ-CDC-ASC210029937/2021	EPI_ISL_2149680
USA/NJ-CDC-ASC210029938/2021	EPI_ISL_2149681
USA/NJ-CDC-ASC210031883/2021	EPI_ISL_2370312
USA/NJ-CDC-ASC210035099/2021	EPI_ISL_2043209
USA/NJ-CDC-LC0027038/2021	EPI_ISL_1339499
USA/NJ-CDC-LC0027114/2021	EPI_ISL_1339565
USA/NJ-CDC-LC0028147/2021	EPI_ISL_1461968
USA/NJ-CDC-LC0036032/2021	EPI_ISL_1609359
USA/NJ-CDC-LC0038496/2021	EPI_ISL_1611581
USA/NJ-CDC-LC0038926/2021	EPI_ISL_1611856
USA/NJ-CDC-LC0049895/2021	EPI_ISL_1926295
USA/NJ-NYGC-S-HU-4116-PSAG827/2021	EPI_ISL_2483370
USA/NJ-PHEL-21-15675/2021	EPI_ISL_2557156
USA/NJ-PHEL-21-16121/2021	EPI_ISL_2649867
USA/NY-CDC-LC0049730/2021	EPI_ISL_1926108
USA/NY-MSHSPSP-PV29369/2021	EPI_ISL_1709236
USA/NY-MSHSPSP-PV35149/2021	EPI_ISL_1709296
USA/NY-MSHSPSP-PV35293/2021	EPI_ISL_1709255
USA/NY-MSHSPSP-PV35341/2021	EPI_ISL_1709289
USA/NY-MSHSPSP-PV35343/2021	EPI_ISL_1709285
USA/NY-MSHSPSP-PV35915/2021	EPI_ISL_1709556
USA/NY-NYGC-2354-VTM2-JHEQ123/2021	EPI_ISL_1971372
USA/NY-NYGC-2424-VTM2-IVUY449/2021	EPI_ISL_1971386
USA/NY-NYGC-2427-VTM2-IXEH723/2021	EPI_ISL_1971391
USA/NY-NYULH2291/2021	EPI_ISL_2663525
USA/NY-PRL-2021_0203_01H01/2021	EPI_ISL_994867
USA/NY-PRL-2021_02_19_01K09/2021	EPI_ISL_1098160
USA/NY-PRL-2021_03_31_00F05/2021	EPI_ISL_1471617
USA/NY-PRL-2021_0405_00G23/2021	EPI_ISL_1543099
USA/NY-PRL-2021_0419_01K05/2021	EPI_ISL_1717598
USA/NY-PRL-2021_0422_01E10/2021	EPI_ISL_1718030
USA/NY-PRL-2021_0428_00A01/2021	EPI_ISL_1828350
USA/NY-PRL-2021_04_01_00P02/2021	EPI_ISL_1472044
USA/NY-PRL-2021_0503_00C13/2021	EPI_ISL_2037115
USA/NY-PRL-2021_0503_01E06/2021	EPI_ISL_2036985
USA/NY-PRL-2021_0519_00B08/2021	EPI_ISL_2235075
USA/NY-PRL-2021_0519_00D06/2021	EPI_ISL_2235170
USA/NY-PRL-2021_0521_00C05/2021	EPI_ISL_2349655
USA/NY-PRL-2021_0524_00C05/2021	EPI_ISL_2349558
USA/NY-Wadsworth-21040975-01/2021	EPI_ISL_1740508
USA/NY-Wadsworth-21041724-01/2021	EPI_ISL_1740512
USA/NY-Wadsworth-21041728-01/2021	EPI_ISL_1740513
USA/NY-Wadsworth-21042170-01/2021	EPI_ISL_1789713
USA/NY-Wadsworth-21043577-01/2021	EPI_ISL_1755988
USA/NY-Wadsworth-21043578-01/2021	EPI_ISL_1755989
USA/NY-Wadsworth-21045401-01/2021	EPI_ISL_1789723
USA/NY-Wadsworth-21055235-01/2021	EPI_ISL_2421099
USA/NY-Wadsworth-21059076-01/2021	EPI_ISL_2422326
USA/OH-2211/2021	EPI_ISL_2467869
USA/OH-UHTL-556/2021	EPI_ISL_1714783
USA/OK-CDC-LC0056092/2021	EPI_ISL_2046559
USA/OR-CDC-ASC210058913/2021	EPI_ISL_2147205
USA/PA-CDC-ASC210026169/2021	EPI_ISL_1685597
USA/PA-CDC-ASC210074893/2021	EPI_ISL_2042377
USA/PA-CDC-ASC210106148/2021	EPI_ISL_2489151
USA/PA-CDC-LC0063240/2021	EPI_ISL_2398442
USA/PA-CDC-STM-000040663/2021	EPI_ISL_1512076
USA/PA-CDC-STM-000056538/2021	EPI_ISL_1907525
USA/PA-CDC-STM-000067210/2021	EPI_ISL_2160640
USA/PR-CDC-S420/2021	EPI_ISL_2426885
USA/RI-CDCBI-RIDOH_02311/2021	EPI_ISL_2133894
USA/SC-CDC-2-4309028/2021	EPI_ISL_2018305
USA/SC-CDC-LC0050258/2021	EPI_ISL_1926367
USA/SC-DHEC-1494/2021	EPI_ISL_2293413
USA/SC-DHEC-1691/2021	EPI_ISL_2313040
USA/SC-DHEC-2006/2021	EPI_ISL_2508531
USA/SEARCH-102291/2021	EPI_ISL_2628855
USA/SEARCH-102292/2021	EPI_ISL_2628859
USA/TN-CDC-ASC210016009/2021	EPI_ISL_1513424
USA/TN-CDC-ASC210016026/2021	EPI_ISL_1513430
USA/TN-CDC-ASC210017484/2021	EPI_ISL_2244501
USA/TN-CDC-ASC210017485/2021	EPI_ISL_1491924
USA/TN-CDC-ASC210019533/2021	EPI_ISL_1650756
USA/TN-CDC-ASC210019541/2021	EPI_ISL_1650764
USA/TN-CDC-ASC210019562/2021	EPI_ISL_1650785
USA/TN-CDC-ASC210051359/2021	EPI_ISL_1737734
USA/TN-CDC-ASC210071040/2021	EPI_ISL_1999772
USA/TN-CDC-ASC210075885/2021	EPI_ISL_2039423
USA/TX-CDC-STM-000058082/2021	EPI_ISL_1924134
USA/TX-CDC-STM-000071866/2021	EPI_ISL_2321096
USA/TX-DSHS-5942/2021	EPI_ISL_1807291
USA/TX-DSHS-5944/2021	EPI_ISL_1807293
USA/TX-DSHS-5962/2021	EPI_ISL_1856910
USA/TX-DSHS-5965/2021	EPI_ISL_1856913
USA/TX-DSHS-5966/2021	EPI_ISL_1856914
USA/TX-DSHS-6124/2021	EPI_ISL_1961124
USA/TX-DSHS-6372/2021	EPI_ISL_2177428
USA/UT-CDC-ASC210035395/2021	EPI_ISL_2042686
USA/UT-UPHL-2104275270/2021	EPI_ISL_2081771
USA/UT-UPHL-2104363775/2021	EPI_ISL_2081766
USA/UT-UPHL-210612921492/2021	EPI_ISL_2679161
USA/VA-CDC-LC0044290/2021	EPI_ISL_1685065
USA/VA-CDC-LC0065762/2021	EPI_ISL_2480570
USA/VA-DCLS-3388/2021	EPI_ISL_1371734
USA/VA-DCLS-4197/2021	EPI_ISL_1760301
USA/VA-DCLS-4940/2021	EPI_ISL_2344462
USA/VA-DCLS-4941/2021	EPI_ISL_2344463
USA/WA-Altius-ALTCOV-5PJSYY6PANOZUUR2/2021	EPI_ISL_2473431
USA/WA-Altius-ALTCOV-64TYFY2425SSWZX2/2021	EPI_ISL_2473459
USA/WA-Altius-ALTCOV-JGXSRHYJFK4YMSX3/2021	EPI_ISL_2473285
USA/WA-Altius-ALTCOV-MLQAQYNQ4M6OIEUL/2021	EPI_ISL_2473088
USA/WA-UW-2021040208757/2021	EPI_ISL_1628186
USA/WA-UW-2021040306246/2021	EPI_ISL_1620982
USA/WA-UW-2021040855772/2021	EPI_ISL_1789273
USA/WA-UW-21041912808/2021	EPI_ISL_2002329
USA/WA-UW-21042044491/2021	EPI_ISL_2002342
USA/WA-UW-21042230023/2021	EPI_ISL_2031504
USA/WA-UW-21042284255/2021	EPI_ISL_2031505
USA/WA-UW-58960/2021	EPI_ISL_1526920
USA/WA-UW-61613/2021	EPI_ISL_1180989
USA/WA-UW-62729/2021	EPI_ISL_1366175
USA/WA-UW-65383/2021	EPI_ISL_1263536
USA/WV-WVU-WV060027/2021	EPI_ISL_1624752
USA/WV-WVU-WV090157/2021	EPI_ISL_1423249
USA/WV-WVU-WV090948/2021	EPI_ISL_1529063
USA/WV-WVU-WV118809/2021	EPI_ISL_2195811
USA/WV-WVU-WV118871/2021	EPI_ISL_2195855
USA/WV-WVU-WV119306/2021	EPI_ISL_2615957
USA/WV-WVU-WV120203/2021	EPI_ISL_2615956
Wuhan/Hu-1/2019	EPI_ISL_402125
