strain	gisaid_epi_isl
Chile/ML-98767/2021	EPI_ISL_2543535
Chile/NB-63487/2021	EPI_ISL_1470470
Chile/RM-100563/2021	EPI_ISL_2663567
Chile/RM-19105/2021	EPI_ISL_1321476
Chile/RM-24779/2021	EPI_ISL_2391365
Chile/RM-30972/2021	EPI_ISL_1300520
Chile/RM-41885/2021	EPI_ISL_1321482
Chile/RM-48102/2021	EPI_ISL_1321488
Chile/RM-51508/2021	EPI_ISL_1470492
Chile/RM-51558/2021	EPI_ISL_1470495
Chile/RM-56622/2021	EPI_ISL_1470446
Chile/RM-57302/2021	EPI_ISL_1470510
Chile/RM-57934/2021	EPI_ISL_1470511
Chile/RM-59753/2021	EPI_ISL_1470518
Chile/RM-63859/2021	EPI_ISL_2391377
Chile/RM-63891/2021	EPI_ISL_1470555
Chile/RM-63892/2021	EPI_ISL_1470556
Chile/RM-63895/2021	EPI_ISL_1470559
Chile/RM-64920/2021	EPI_ISL_1534574
Chile/RM-67031/2021	EPI_ISL_1633412
Chile/RM-72617/2021	EPI_ISL_2009197
Chile/RM-73743/2021	EPI_ISL_2391380
Chile/RM-76273/2021	EPI_ISL_2391382
Chile/RM-80256/2021	EPI_ISL_2597251
Chile/RM-82134/2021	EPI_ISL_2597261
Chile/RM-85953/2021	EPI_ISL_2391095
Chile/RM-87323/2021	EPI_ISL_2391389
Chile/RM-87667/2021	EPI_ISL_2391397
Chile/RM-88541/2021	EPI_ISL_2391404
Chile/RM-90377/2021	EPI_ISL_2391441
Chile/RM-90385/2021	EPI_ISL_2391447
Chile/RM-90978/2021	EPI_ISL_2391422
Chile/RM-91053/2021	EPI_ISL_2391424
Chile/RM-92393/2021	EPI_ISL_2509144
Chile/RM-92529/2021	EPI_ISL_2391337
Chile/RM-93103/2021	EPI_ISL_2509148
Chile/RM-93360/2021	EPI_ISL_2509150
Chile/RM-95748/2021	EPI_ISL_2509186
Chile/RM-96355/2021	EPI_ISL_2543498
Chile/RM-96603/2021	EPI_ISL_2543503
Chile/RM-97478/2021	EPI_ISL_2543508
Chile/RM-97551/2021	EPI_ISL_2543506
Chile/RM-97595/2021	EPI_ISL_2543514
Chile/RM-97697/2021	EPI_ISL_2543516
Chile/RM-97816/2021	EPI_ISL_2543518
Chile/RM-98056/2021	EPI_ISL_2543448
Chile/RM-98213/2021	EPI_ISL_2543521
Chile/RM-98946/2021	EPI_ISL_2663556
Chile/RM-99330/2021	EPI_ISL_2663558
Chile/TA-54510/2021	EPI_ISL_1470428
Chile/TA-68055/2021	EPI_ISL_1470553
Chile/TA-81870/2021	EPI_ISL_2009650
Chile/TA-92608/2021	EPI_ISL_2391344
Colombia/ANT-A030/2021	EPI_ISL_2339823
Colombia/DC-A130/2021	EPI_ISL_2603164
Colombia/VAC-A011/2021	EPI_ISL_2339805
